value,count
0,0
1,1
2,0
3,0
4,0
5,3
6,2
7,0
8,0
9,1
10,3
11,2
12,1
13,0
14,0
15,1
16,4
17,5
18,3
19,2
20,5
21,5
22,9
23,5
24,7
25,4
26,7
27,6
28,6
29,10
30,6
31,8
32,15
33,12
34,15
35,12
36,12
37,13
38,21
39,9
40,20
41,12
42,21
43,24
44,12
45,16
46,13
47,20
48,19
49,18
50,25
51,22
52,25
53,16
54,15
55,20
56,19
57,28
58,23
59,16
60,30
61,29
62,33
63,29
64,33
65,35
66,36
67,26
68,33
69,22
70,29
71,34
72,34
73,26
74,32
75,30
76,32
77,42
78,34
79,39
80,34
81,25
82,59
83,48
84,48
85,42
86,48
87,52
88,51
89,43
90,48
91,52
92,53
93,41
94,55
95,49
96,48
97,64
98,32
99,47
100,49
101,57
102,60
103,59
104,75
105,70
106,65
107,76
108,52
109,59
110,54
111,63
112,66
113,63
114,80
115,72
116,69
117,77
118,87
119,87
120,88
121,92
122,88
123,86
124,89
125,82
126,88
127,88
128,79
129,94
130,90
131,91
132,114
133,79
134,100
135,92
136,110
137,102
138,108
139,103
140,110
141,115
142,124
143,137
144,109
145,129
146,129
147,141
148,125
149,127
150,148
151,154
152,169
153,154
154,188
155,153
156,164
157,163
158,164
159,178
160,214
161,200
162,197
163,217
164,207
165,202
166,240
167,227
168,225
169,280
170,235
171,275
172,304
173,268
174,326
175,304
176,354
177,340
178,370
179,369
180,383
181,436
182,424
183,439
184,479
185,531
186,533
187,575
188,613
189,668
190,740
191,805
192,803
193,996
194,1081
195,1213
196,1296
197,1414
198,1771
199,1926
200,2219
201,2453
202,2671
203,3048
204,3197
205,3521
206,3721
207,4134
208,4467
209,4542
210,4978
211,5048
212,5234
213,5234
214,5172
215,5120
216,4914
217,4985
218,4716
219,4614
220,4469
221,4392
222,4149
223,3894
224,3685
225,3500
226,3246
227,3141
228,2857
229,2720
230,2542
231,2438
232,2054
233,1932
234,1533
235,1156
236,938
237,687
238,507
239,352
240,270
241,158
242,128
243,72
244,32
245,25
246,17
247,12
248,5
249,2
250,1
251,2
252,2
253,2
254,0
255,0
