value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,1
47,3
48,3
49,2
50,1
51,1
52,1
53,0
54,0
55,2
56,0
57,0
58,0
59,1
60,0
61,2
62,1
63,2
64,0
65,3
66,2
67,1
68,0
69,0
70,2
71,0
72,2
73,0
74,0
75,1
76,1
77,0
78,1
79,3
80,1
81,1
82,2
83,1
84,1
85,4
86,1
87,1
88,0
89,0
90,0
91,2
92,2
93,1
94,3
95,2
96,1
97,0
98,1
99,2
100,1
101,3
102,3
103,1
104,3
105,1
106,2
107,2
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,9
120,0
121,1
122,2
123,0
124,0
125,6
126,1
127,1
128,2
129,2
130,0
131,1
132,2
133,0
134,1
135,1
136,1
137,4
138,5
139,2
140,1
141,0
142,3
143,0
144,0
145,0
146,3
147,1
148,1
149,1
150,3
151,2
152,2
153,6
154,4
155,3
156,4
157,4
158,3
159,2
160,3
161,4
162,3
163,2
164,4
165,2
166,5
167,3
168,0
169,3
170,2
171,2
172,2
173,1
174,4
175,7
176,6
177,7
178,4
179,4
180,4
181,7
182,8
183,5
184,7
185,7
186,12
187,8
188,8
189,14
190,13
191,13
192,4
193,14
194,21
195,24
196,16
197,16
198,29
199,37
200,38
201,44
202,50
203,68
204,83
205,92
206,111
207,103
208,138
209,149
210,179
211,183
212,177
213,159
214,114
215,98
216,74
217,42
218,22
219,21
220,17
221,12
222,7
223,5
224,3
225,2
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
