Distance_(pixels),Gray_Value
0,167.667
1,169.667
2,166.667
3,162.667
4,148.667
5,115.667
6,83.333
7,61.333
8,31.333
9,22.667
10,20.667
11,20.667
12,20.667
13,21.333
14,19.333
15,17.667
16,25.333
17,36.000
18,53.333
19,87.667
20,115.667
21,135.333
22,150.333
23,154.333
24,152.333
25,150.667
26,151.667
27,149.667
28,137.667
29,112.333
30,81.333
31,52.333
32,28.333
33,21.333
34,17.333
35,18.667
36,18.667
37,18.667
38,20.667
39,27.333
40,33.333
41,47.667
42,81.667
43,106.667
44,129.667
45,142.667
46,149.667
47,151.667
48,151.667
49,151.667
50,154.667
51,152.333
52,136.333
53,108.333
54,79.333
55,52.333
56,35.333
57,23.333
58,18.333
59,16.333
60,18.333
61,18.667
62,20.667
63,30.667
64,41.667
65,57.333
66,92.333
67,116.667
68,147.333
69,161.333
70,161.333
71,163.333
72,166.333
73,169.333
74,168.333
75,166.333
76,165.333
77,167.333
78,168.333
79,167.333
80,168.333
81,164.667
82,164.667
83,167.667
84,166.667
85,162.667
86,161.667
87,156.667
88,135.667
89,101.667
90,68.667
91,59.333
92,46.333
93,28.333
94,22.333
95,20.333
96,16.333
97,15.667
98,22.667
99,37.333
100,57.667
101,85.333
102,122.667
103,146.333
104,147.333
105,152.333
106,154.333
107,160.333
108,156.333
109,135.333
110,97.333
111,62.667
112,42.667
113,33.333
114,23.333
115,13.333
116,15.333
117,19.333
118,20.333
119,24.333
120,34.333
121,56.333
122,109.333
123,134.333
124,146.333
125,151.667
126,148.667
127,146.333
128,145.333
129,145.333
130,130.333
131,103.333
132,68.333
133,52.333
134,36.333
135,21.333
136,15.333
137,15.667
138,15.667
139,16.667
140,25.667
141,34.667
142,69.667
143,115.667
144,140.667
145,153.667
146,161.667
147,159.333
148,161.333
149,164.667
150,165.667
151,164.667
152,164.667
153,165.667
154,166.667
155,167.667
156,166.667
157,169.667
158,163.667
159,161.667
160,153.667
161,142.667
162,116.667
163,98.667
164,73.667
165,55.667
166,36.333
167,22.333
168,16.333
169,15.667
170,15.667
171,17.667
172,30.667
173,54.333
174,96.333
175,128.333
176,141.333
177,151.333
178,149.333
179,150.667
180,149.667
181,119.333
182,78.333
183,51.333
184,38.333
185,23.333
186,16.333
187,14.333
188,16.333
189,20.667
190,34.667
191,59.667
192,93.667
193,125.333
194,149.333
195,148.333
196,147.333
197,147.667
198,144.667
199,134.667
200,111.667
201,88.333
202,60.333
203,42.333
204,30.333
205,22.667
206,19.667
207,23.333
208,29.333
209,38.667
210,77.667
211,111.667
212,129.667
213,150.333
214,154.333
215,157.667
216,158.667
217,163.667
218,164.667
219,159.667
220,159.667
221,159.667
222,162.667
223,163.333
224,160.333
225,154.667
226,140.667
227,112.667
228,81.667
229,57.333
230,41.333
231,26.333
232,19.333
233,15.333
234,21.333
235,28.333
236,45.333
237,79.333
238,108.333
239,143.333
240,155.333
241,150.667
242,148.667
243,128.667
244,92.667
245,63.667
246,59.667
247,40.667
248,24.667
249,17.333
250,20.333
251,27.333
252,41.333
253,70.333
254,100.333
255,127.667
256,143.667
257,144.667
258,143.667
259,125.667
260,107.667
261,90.667
262,63.667
263,42.667
264,29.667
265,21.667
266,20.667
267,30.667
268,48.667
269,64.333
270,93.333
271,123.333
272,151.333
273,167.333
274,164.333
275,162.333
276,163.333
277,163.667
278,161.667
279,162.667
280,163.667
281,161.333
282,162.333
283,165.333
284,164.333
285,159.333
286,140.333
287,105.333
288,71.333
289,42.333
290,33.333
291,27.333
292,25.333
293,27.667
294,37.667
295,66.333
296,98.333
297,119.000
298,130.000
299,132.667
300,133.667
301,126.667
302,87.667
303,48.667
304,32.667
305,27.333
306,23.333
307,24.333
308,27.333
309,42.333
310,77.333
311,105.667
312,134.667
313,134.667
314,135.667
315,132.667
316,106.667
317,88.667
318,58.667
319,31.333
320,30.333
321,31.333
322,28.333
323,37.333
324,66.333
325,112.667
326,138.667
327,134.667
328,143.667
329,159.333
330,162.333
331,157.667
332,155.667
333,157.667
334,152.667
335,139.667
336,115.667
337,86.667
338,52.667
339,35.667
340,27.667
341,27.667
342,38.667
343,50.333
344,81.333
345,115.667
346,124.667
347,137.667
348,131.667
349,113.333
350,91.333
351,57.333
352,40.333
353,27.333
354,19.333
355,19.667
356,27.667
357,61.333
358,102.667
359,131.667
360,139.667
361,136.667
362,125.667
363,93.667
364,48.667
365,47.667
366,45.667
367,30.667
368,23.667
369,20.667
370,57.667
371,103.667
372,136.667
373,145.667
374,147.667
375,157.667
376,164.667
377,166.667
378,167.667
379,165.667
380,167.667
381,170.667
382,170.667
383,169.667
384,169.667
385,0.000
386,0.000
387,0.000
388,0.000
389,0.000
390,0.000
391,0.000
392,0.000
393,0.000
394,0.000
395,0.000
396,0.000
